Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
conv_SaintCatherine_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	169	pc "[what]"
conv_SaintCatherine_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_SaintCatherine.rpy	175	p "[what]"
conv_SaintCatherine_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	181	p "[what]"
conv_SaintCatherine_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	187	p "[what]"
conv_SaintCatherine_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	193	pc "[what]"
conv_SaintCatherine_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	199	p "[what]"
conv_SaintCatherine_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	205	p "[what]"
conv_SaintCatherine_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	211	pc "[what]"
conv_Soup_91b476f0	p	You're talking to me, the Soup!	game/tl/test/characters/C_Soup.rpy	7	p "[what]"
conv_Soup_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Soup.rpy	13	p "[what]"
conv_Soup_e375c1af	pc	We sure are.	game/tl/test/characters/C_Soup.rpy	19	pc "[what]"
conv_Soup_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Soup.rpy	25	p "[what]"
conv_Soup_57659f9d	p	See ya	game/tl/test/characters/C_Soup.rpy	31	p "[what]"
conv_Soup_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Soup.rpy	37	p "[what]" nointeract
conv_Soup_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_Soup.rpy	43	p "[what]"
conv_Soup_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_Soup.rpy	49	p "[what]"
conv_Soup_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Soup.rpy	55	p "[what]"
conv_Soup_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	61	p "[what]"
conv_Soup_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	67	pc "[what]"
conv_Soup_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Soup.rpy	73	p "[what]"
conv_Soup_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	79	p "[what]"
conv_Soup_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	85	pc "[what]"
conv_Soup_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_Soup.rpy	91	p "[what]"
conv_Soup_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Soup.rpy	97	p "[what]"
conv_Soup_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	103	p "[what]"
conv_Soup_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	109	pc "[what]"
conv_Soup_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Soup.rpy	115	p "[what]"
conv_Soup_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	121	p "[what]"
conv_Soup_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	127	pc "[what]"
conv_Soup_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_Soup.rpy	133	p "[what]"
conv_Soup_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Soup.rpy	139	p "[what]"
conv_Soup_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	145	p "[what]"
conv_Soup_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	151	pc "[what]"
conv_Soup_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Soup.rpy	157	p "[what]"
conv_Soup_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	163	p "[what]"
conv_Soup_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	169	pc "[what]"
conv_Soup_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_Soup.rpy	175	p "[what]"
conv_Soup_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Soup.rpy	181	p "[what]"
conv_Soup_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	187	p "[what]"
conv_Soup_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	193	pc "[what]"
conv_Soup_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Soup.rpy	199	p "[what]"
conv_Soup_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	205	p "[what]"
conv_Soup_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	211	pc "[what]"
conv_Soup_beat5_f696fb70	p	This is the fifth beat of my story!	game/tl/test/characters/C_Soup.rpy	217	p "[what]"
conv_Soup_beat5_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Soup.rpy	223	p "[what]"
conv_Soup_beat5_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	229	p "[what]"
conv_Soup_beat5_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	235	pc "[what]"
conv_Soup_beat5_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Soup.rpy	241	p "[what]"
conv_Soup_beat5_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	247	p "[what]"
conv_Soup_beat5_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	253	pc "[what]"
conv_Soup_beat6_831bcbb0	p	This is the sixth beat of my story!	game/tl/test/characters/C_Soup.rpy	259	p "[what]"
conv_Soup_beat6_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Soup.rpy	265	p "[what]"
conv_Soup_beat6_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	271	p "[what]"
conv_Soup_beat6_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	277	pc "[what]"
conv_Soup_beat6_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Soup.rpy	283	p "[what]"
conv_Soup_beat6_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	289	p "[what]"
conv_Soup_beat6_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	295	pc "[what]"
conv_Soup_beat7_3ef40c5a	p	This is the seventh and final beat of my story!	game/tl/test/characters/C_Soup.rpy	301	p "[what]"
conv_Soup_beat7_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Soup.rpy	307	p "[what]"
conv_Soup_beat7_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	313	p "[what]"
conv_Soup_beat7_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	319	pc "[what]"
conv_Soup_beat7_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Soup.rpy	325	p "[what]"
conv_Soup_beat7_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Soup.rpy	331	p "[what]"
conv_Soup_beat7_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Soup.rpy	337	pc "[what]"
conv_SoupAndSunflowers_cb924460	p	You're talking to me, the SoupAndSunflowers!	game/tl/test/characters/C_SoupAndSunflowers.rpy	7	p "[what]"
conv_SoupAndSunflowers_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_SoupAndSunflowers.rpy	13	p "[what]"
conv_SoupAndSunflowers_e375c1af	pc	We sure are.	game/tl/test/characters/C_SoupAndSunflowers.rpy	19	pc "[what]"
conv_SoupAndSunflowers_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_SoupAndSunflowers.rpy	25	p "[what]"
conv_SoupAndSunflowers_57659f9d	p	See ya	game/tl/test/characters/C_SoupAndSunflowers.rpy	31	p "[what]"
conv_SoupAndSunflowers_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_SoupAndSunflowers.rpy	37	p "[what]" nointeract
conv_SoupAndSunflowers_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_SoupAndSunflowers.rpy	43	p "[what]"
conv_SoupAndSunflowers_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_SoupAndSunflowers.rpy	49	p "[what]"
conv_SoupAndSunflowers_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	55	p "[what]"
conv_SoupAndSunflowers_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	61	p "[what]"
conv_SoupAndSunflowers_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	67	pc "[what]"
conv_SoupAndSunflowers_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	73	p "[what]"
conv_SoupAndSunflowers_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	79	p "[what]"
conv_SoupAndSunflowers_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	85	pc "[what]"
conv_SoupAndSunflowers_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_SoupAndSunflowers.rpy	91	p "[what]"
conv_SoupAndSunflowers_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	97	p "[what]"
conv_SoupAndSunflowers_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	103	p "[what]"
conv_SoupAndSunflowers_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	109	pc "[what]"
conv_SoupAndSunflowers_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	115	p "[what]"
conv_SoupAndSunflowers_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	121	p "[what]"
conv_SoupAndSunflowers_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	127	pc "[what]"
conv_SoupAndSunflowers_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_SoupAndSunflowers.rpy	133	p "[what]"
conv_SoupAndSunflowers_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	139	p "[what]"
conv_SoupAndSunflowers_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	145	p "[what]"
conv_SoupAndSunflowers_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	151	pc "[what]"
conv_SoupAndSunflowers_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	157	p "[what]"
conv_SoupAndSunflowers_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	163	p "[what]"
conv_SoupAndSunflowers_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	169	pc "[what]"
conv_SoupAndSunflowers_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_SoupAndSunflowers.rpy	175	p "[what]"
conv_SoupAndSunflowers_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	181	p "[what]"
conv_SoupAndSunflowers_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	187	p "[what]"
conv_SoupAndSunflowers_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	193	pc "[what]"
conv_SoupAndSunflowers_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SoupAndSunflowers.rpy	199	p "[what]"
conv_SoupAndSunflowers_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SoupAndSunflowers.rpy	205	p "[what]"
conv_SoupAndSunflowers_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SoupAndSunflowers.rpy	211	pc "[what]"
conv_Sue_46f1f720	p	You're talking to me, the Sue! I'm a side character!	game/tl/test/characters/C_Sue.rpy	7	p "[what]"
conv_Sue_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Sue.rpy	13	p "[what]"
conv_Sue_e375c1af	pc	We sure are.	game/tl/test/characters/C_Sue.rpy	19	pc "[what]"
conv_Sue_57659f9d	p	See ya	game/tl/test/characters/C_Sue.rpy	25	p "[what]"
conv_Sunflowers_ceaeaed7	p	You're talking to me, the Sunflowers!	game/tl/test/characters/C_Sunflowers.rpy	7	p "[what]"
conv_Sunflowers_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Sunflowers.rpy	13	p "[what]"
conv_Sunflowers_e375c1af	pc	We sure are.	game/tl/test/characters/C_Sunflowers.rpy	19	pc "[what]"
conv_Sunflowers_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Sunflowers.rpy	25	p "[what]"
conv_Sunflowers_57659f9d	p	See ya	game/tl/test/characters/C_Sunflowers.rpy	31	p "[what]"
conv_Sunflowers_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Sunflowers.rpy	37	p "[what]" nointeract
conv_Sunflowers_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_Sunflowers.rpy	43	p "[what]"
conv_Sunflowers_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_Sunflowers.rpy	49	p "[what]"
conv_Sunflowers_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Sunflowers.rpy	55	p "[what]"
conv_Sunflowers_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	61	p "[what]"
conv_Sunflowers_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	67	pc "[what]"
conv_Sunflowers_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Sunflowers.rpy	73	p "[what]"
conv_Sunflowers_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	79	p "[what]"
conv_Sunflowers_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	85	pc "[what]"
conv_Sunflowers_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_Sunflowers.rpy	91	p "[what]"
conv_Sunflowers_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Sunflowers.rpy	97	p "[what]"
conv_Sunflowers_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	103	p "[what]"
conv_Sunflowers_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	109	pc "[what]"
conv_Sunflowers_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Sunflowers.rpy	115	p "[what]"
conv_Sunflowers_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	121	p "[what]"
conv_Sunflowers_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	127	pc "[what]"
conv_Sunflowers_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_Sunflowers.rpy	133	p "[what]"
conv_Sunflowers_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Sunflowers.rpy	139	p "[what]"
conv_Sunflowers_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	145	p "[what]"
conv_Sunflowers_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	151	pc "[what]"
conv_Sunflowers_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Sunflowers.rpy	157	p "[what]"
conv_Sunflowers_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	163	p "[what]"
conv_Sunflowers_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	169	pc "[what]"
conv_Sunflowers_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_Sunflowers.rpy	175	p "[what]"
conv_Sunflowers_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Sunflowers.rpy	181	p "[what]"
conv_Sunflowers_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	187	p "[what]"
conv_Sunflowers_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	193	pc "[what]"
conv_Sunflowers_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Sunflowers.rpy	199	p "[what]"
conv_Sunflowers_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	205	p "[what]"
conv_Sunflowers_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	211	pc "[what]"
conv_Sunflowers_beat5_f696fb70	p	This is the fifth beat of my story!	game/tl/test/characters/C_Sunflowers.rpy	217	p "[what]"
conv_Sunflowers_beat5_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Sunflowers.rpy	223	p "[what]"
conv_Sunflowers_beat5_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	229	p "[what]"
conv_Sunflowers_beat5_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	235	pc "[what]"
conv_Sunflowers_beat5_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Sunflowers.rpy	241	p "[what]"
conv_Sunflowers_beat5_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	247	p "[what]"
conv_Sunflowers_beat5_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	253	pc "[what]"
conv_Sunflowers_beat6_831bcbb0	p	This is the sixth beat of my story!	game/tl/test/characters/C_Sunflowers.rpy	259	p "[what]"
conv_Sunflowers_beat6_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Sunflowers.rpy	265	p "[what]"
conv_Sunflowers_beat6_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	271	p "[what]"
conv_Sunflowers_beat6_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	277	pc "[what]"
conv_Sunflowers_beat6_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Sunflowers.rpy	283	p "[what]"
conv_Sunflowers_beat6_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	289	p "[what]"
conv_Sunflowers_beat6_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	295	pc "[what]"
conv_Sunflowers_beat7_3ef40c5a	p	This is the seventh and final beat of my story!	game/tl/test/characters/C_Sunflowers.rpy	301	p "[what]"
conv_Sunflowers_beat7_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Sunflowers.rpy	307	p "[what]"
conv_Sunflowers_beat7_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	313	p "[what]"
conv_Sunflowers_beat7_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	319	pc "[what]"
conv_Sunflowers_beat7_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Sunflowers.rpy	325	p "[what]"
conv_Sunflowers_beat7_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Sunflowers.rpy	331	p "[what]"
conv_Sunflowers_beat7_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Sunflowers.rpy	337	pc "[what]"
conv_Theodore_e438cb8f	p	You're talking to me, the Theodore! I'm a side character!	game/tl/test/characters/C_Theodore.rpy	7	p "[what]"
conv_Theodore_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Theodore.rpy	13	p "[what]"
conv_Theodore_e375c1af	pc	We sure are.	game/tl/test/characters/C_Theodore.rpy	19	pc "[what]"
conv_Theodore_57659f9d	p	See ya	game/tl/test/characters/C_Theodore.rpy	25	p "[what]"
conv_VendingMachine_c72519ba	p	You're talking to me, the VendingMachine! I'm a side character!	game/tl/test/characters/C_VendingMachine.rpy	7	p "[what]"
conv_VendingMachine_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_VendingMachine.rpy	13	p "[what]"
conv_VendingMachine_e375c1af	pc	We sure are.	game/tl/test/characters/C_VendingMachine.rpy	19	pc "[what]"
conv_VendingMachine_57659f9d	p	See ya	game/tl/test/characters/C_VendingMachine.rpy	25	p "[what]"
day_start_196ca89a	meta	It is day [DayNumber].	game/tl/test/daily_loop.rpy	7	meta "[what]"
day_start_cb9c30d0	ad	Good morning! Hope you slept well, you have [days_remaining] days left before the exhibit.	game/tl/test/daily_loop.rpy	13	ad "[what]"
day_start_40f5e1c3	ad	Since it's your first day, let me tell you what to do.	game/tl/test/daily_loop.rpy	19	ad "[what]"
day_start_9a02998d	ad	It's your second day!	game/tl/test/daily_loop.rpy	25	ad "[what]"
day_start_31537608	ad	It's your third day!	game/tl/test/daily_loop.rpy	31	ad "[what]"
day_start_88a8b2b8	ad	It's the last day!	game/tl/test/daily_loop.rpy	37	ad "[what]"
day_start_b2834ce9	ad	The museum's filthy, so you might want to clean.	game/tl/test/daily_loop.rpy	43	ad "[what]"
day_start_d42f8291	ad	But you don't know much, so maybe you want to research.	game/tl/test/daily_loop.rpy	49	ad "[what]"
daily_cleaning_1ce98029	meta	Now you're free to roam around the museum	game/tl/test/daily_loop.rpy	55	meta "[what]"
daily_research_1ce98029	meta	Now you're free to roam around the museum	game/tl/test/daily_loop.rpy	61	meta "[what]"
out_of_actions_d7ae4046	pc	Wow I'm really tired, I must be out of ACTIONS for the day.	game/tl/test/daily_loop.rpy	67	pc "[what]"
nighthawks_daily_6b29782f	n	We'll say something about the player actions here.	game/tl/test/daily_loop.rpy	73	n "[what]"
day_end_e60faf2a	meta	That's the end of day [DayNumber]	game/tl/test/daily_loop.rpy	79	meta "[what]"
gameintroduction_128275ac	meta	You're in a crappy museum because you missed your bus in the rain.	game/tl/test/day_zero.rpy	7	meta "[what]"
gameintroduction_374d0772	meta	The museum is deserted, no one even working the front desk.	game/tl/test/day_zero.rpy	13	meta "[what]"
gameintroduction_886fbc99	meta	The rain is not stopping.	game/tl/test/day_zero.rpy	19	meta "[what]"
gameintroduction_11672b34	meta	You have just enough cash for something from the vending machine.	game/tl/test/day_zero.rpy	25	meta "[what]"
gameintroduction_476d8530	meta	Current disposition is: [d_Total]	game/tl/test/day_zero.rpy	31	meta "[what]"
arguing_davids_4533b348	d	But do you have to {i}stand{/i} on the head? It's grisly.	game/tl/test/day_zero.rpy	37	d "[what]"
arguing_davids_8e3edf30	meta	A voice echoes through the hall, but you still can't see anyone.	game/tl/test/day_zero.rpy	43	meta "[what]"
arguing_davids_25ad8ee6	meta	Your voice echoes like a ghost with no one to haunt.	game/tl/test/day_zero.rpy	49	meta "[what]"
arguing_davids_a377cc4c	meta	You look for the sound.	game/tl/test/day_zero.rpy	55	meta "[what]"
arguing_davids_e17a3c87	d	Anyway it's "David and Goliath" not "Goliath and Goliath" you oversized fool.	game/tl/test/day_zero.rpy	61	d "[what]"
arguing_davids_56a1ff1d	meta	The voices seem to come from somewhere behind a trio of statues.	game/tl/test/day_zero.rpy	67	meta "[what]"
arguing_davids_f629dfb4	meta	Moving closer, the voices are clearer.	game/tl/test/day_zero.rpy	73	meta "[what]"
arguing_davids_ed9df089	meta	They're not... coming from the statues, are they?	game/tl/test/day_zero.rpy	79	meta "[what]"
arguing_davids_3db8e18e	meta	Cautiously, you raise a leg over the rope.	game/tl/test/day_zero.rpy	85	meta "[what]"
arguing_davids_43b972f8	meta	It feels wrong, like being in a school hallway after hours.	game/tl/test/day_zero.rpy	91	meta "[what]"
arguing_davids_39b3dedd	meta	An alarm blares through the museum, you nearly drip as you hop back from the rope.	game/tl/test/day_zero.rpy	97	meta "[what]"
arguing_davids_4a851e60	meta	Tell that to the judge.	game/tl/test/day_zero.rpy	103	meta "[what]"
arguing_davids_3ad67486	meta	You're not the first person who tried to get too close to a museum piece.	game/tl/test/day_zero.rpy	109	meta "[what]"
arguing_davids_a4505c9a	meta	The alarm blares again.	game/tl/test/day_zero.rpy	115	meta "[what]"
arguing_davids_a28a63cc	meta	Oh. It's just the phone.	game/tl/test/day_zero.rpy	121	meta "[what]"
arguing_davids_3714e227	meta	It's not stopping either.	game/tl/test/day_zero.rpy	127	meta "[what]"
get_the_phone_841b585f	meta	You answer the phone.	game/tl/test/day_zero.rpy	133	meta "[what]"
get_the_phone_7a27be58	ad	Admin jumps into their long list of things that need to get done.	game/tl/test/day_zero.rpy	139	ad "[what]"
get_the_phone_53a122c1	ad	Panic sets in when they realize there's no one left working at the museum.	game/tl/test/day_zero.rpy	145	ad "[what]"
get_the_phone_123bbb59	meta	What IT exactly is, you're not sure of.	game/tl/test/day_zero.rpy	151	meta "[what]"
get_the_phone_74097739	meta	Hey, worth a shot.	game/tl/test/day_zero.rpy	157	meta "[what]"
get_the_phone_a6cbcfb9	ad	What's your name?	game/tl/test/day_zero.rpy	163	ad "[what]"
get_the_phone_b43d0bf4	pc	My name is [pc_name]!	game/tl/test/day_zero.rpy	169	pc "[what]"
get_the_phone_b2bb72e6	ad	Wow, are you {i}the{/i} [pc_name]?	game/tl/test/day_zero.rpy	175	ad "[what]"
get_the_phone_85803ff9	ad	Your paper on the deontological ramifications of popularized historicity was...	game/tl/test/day_zero.rpy	181	ad "[what]"
get_the_phone_74c45d68	ad	Well, I didn't understand much of it, but wow!	game/tl/test/day_zero.rpy	187	ad "[what]"
get_the_phone_773a5914	meta	In this economy, the truth has to be a little flexible.	game/tl/test/day_zero.rpy	193	meta "[what]"
get_the_phone_b3f362a8	meta	Well, it isn't {i}NOT{/i} your name.	game/tl/test/day_zero.rpy	199	meta "[what]"
get_the_phone_66d3f6ff	meta	Maybe wait until you have the job to start lying.	game/tl/test/day_zero.rpy	205	meta "[what]"
get_the_phone_03758a49	ad	OK, let's skip over most of the paperwork.	game/tl/test/day_zero.rpy	211	ad "[what]"
get_the_phone_19ebbb55	ad	Any relevant work experience?	game/tl/test/day_zero.rpy	217	ad "[what]"
get_the_phone_fb8175e6	ad	Any relevant work experience?	game/tl/test/day_zero.rpy	223	ad "[what]" nointeract
get_the_phone_2de5fec6	ad	That's... OK, great!	game/tl/test/day_zero.rpy	229	ad "[what]"
get_the_phone_2de5fec6_1	ad	That's... OK, great!	game/tl/test/day_zero.rpy	235	ad "[what]"
get_the_phone_2de5fec6_2	ad	That's... OK, great!	game/tl/test/day_zero.rpy	241	ad "[what]"
get_the_phone_2de5fec6_3	ad	That's... OK, great!	game/tl/test/day_zero.rpy	247	ad "[what]"
